#MPRN: 10005282085
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2024-04-25,0.5715,1.1015,0.3135,0.405,3.869,3.905,3.9155,3.941,3.9245,3.9265,3.359,2.6195,0.0605,0.0075,0.1645,0.106,0.0005,0,0,0.018,0.0265,0.0495,0.0435,0.048,0.0375,0.013,0.0035,0,0,0.0285,0.038,0.0265,0.001,0,0.0005,0.001,0.0105,0.02,0.0525,0.0495,0.05,0.0465,0.0545,0.0405,0.0085,0.0185,0.017,0.205
2024-04-26,1.4115,0.8535,0.843,0.3645,1.655,1.6615,1.6765,1.67,1.7025,1.697,0.963,0.4665,0.0095,0.009,0.002,0.0025,0.004,0,0,0.0175,0.0665,0.039,0.0755,0.079,0.058,0.0645,0.033,0.025,0.0535,0.0315,0.036,0.012,0.0105,0,0.0005,0.0015,0.0295,0.0555,0.051,0.0465,0.044,0.053,0.053,0.051,0.0155,0.011,0.0205,0.014
2024-04-27,0.035,0.1775,0.498,1.4765,3.221,2.6615,2.6545,2.6585,2.6645,2.669,1.766,1.3535,0.008,0.008,0,0,0.005,0.507,0.365,0.38,0.057,0.055,0.059,0.0505,0.0615,0.0285,0.02,0.0165,0.012,0.009,0,0.037,0.0095,0,0,0,0,0.0145,0.0135,0.1265,0.0085,0.0345,0.054,0.0595,0.0525,0.0125,0.0145,0.0155
2024-04-28,0,0.2305,0.327,0.407,3.9,3.9515,3.969,3.967,3.9705,3.998,3.0525,2.6795,0.042,0.0105,0,0,0,0,0,0.04,0.0145,0,0,0.0055,0.1145,0.436,0.0265,0.0355,0.0685,0.025,0.018,0.039,0.0495,0.052,0.046,0.0335,0.0775,0.054,0.0105,0.008,0.0075,0.0185,0.071,0.0505,0.05,0.0475,0.019,0.0085
2024-04-29,0.256,1.007,0.6835,0.9265,3.108,2.9705,3.2165,2.836,2.652,2.856,1.5935,1.3075,0.0185,0.021,0,0.009,0.0015,0,0,0.027,0.051,0.0515,0.0245,0.014,0.0045,0.0095,0.0195,0.0005,0.0135,0.043,0.0695,0.017,0.027,0,0.009,0.0705,0.2105,0.065,0.025,0.0455,0.052,0.0525,0.05,0.0495,0.008,0.009,0.008,0.0065
2024-04-30,0.006,0.2585,0.395,0.6915,3.965,3.9085,3.9205,3.9255,3.9295,3.941,2.963,2.6075,0.056,0.0915,0.1525,0.119,0.004,0.0035,0.027,0.047,0.049,0.049,0.0375,0.008,0.011,0.01,0.0165,0.0175,0.019,0.0145,0.0005,0.0005,0.023,0.0045,0.0015,0.0105,0.2435,0.053,0.01,0.0085,0.0385,0.0495,0.0505,0.0455,0.0485,0.0505,0.0465,0.013
2024-05-01,0,0.1505,0.2575,0.362,4.251,4.1455,4.2895,3.9495,4.5625,3.9205,3.034,2.5615,0.038,0.013,0,0.084,0,0,0.0005,0.0305,0.047,0.036,0.0495,0.0245,0.027,0.072,0.1245,0.111,0.0845,0.0765,0.038,0.015,0,0,0,0.062,0.132,0.0465,0.026,0.031,0.0495,0.048,0.0555,0.051,0.011,0.011,0.011,0.009
2024-05-02,0,0.2045,0.296,0.424,4.3225,4.27,3.988,4.535,3.983,3.991,3.028,0.7725,0.0535,0.0485,0.0015,0.0865,0,0.0185,0.15,0.061,0.05,0.0525,0.0095,0.008,0.0145,0.0175,0.0355,0.039,0.0065,0.035,0.0135,0.0035,0.008,0,0,0.0095,0.102,0.027,0.0095,0.01,0.013,0.042,0.0525,0.049,0.0515,0.0475,0.0285,0.0075
2024-05-03,0.1055,0.307,0.2945,0.4015,2.6505,2.671,2.6845,2.6925,2.7115,2.7225,1.9745,1.381,0.01,0.1665,0.249,0.2495,0,0.174,0.0675,0.042,0.05,0.0445,0.0095,0.0105,0.008,0.0105,0.01,0.0065,0.021,0.017,0.0095,0.0075,0.008,0.007,0.008,0.012,0.0265,0.007,0.0095,0.008,0.0095,0.01,0.0425,0.057,0.0455,0.052,0.0765,0.028
2024-05-04,0.184,0.3055,0.2835,0.3625,2.6655,2.629,2.6545,2.668,2.663,2.459,1.242,1.3195,0.009,0.007,0.283,0.856,0.9285,2.1195,2.0855,1.738,2.2015,0.0085,0.01,0.0075,0.0145,0.008,0.0105,0.0105,0.008,0.008,0.009,0.0075,0.009,0.0065,0.008,0.008,0.01,0.0095,0.008,0.0075,0.008,0.006,0.007,0.006,0.0075,0.0065,0.006,0.0075
2024-05-05,0,0.208,0.2295,0.3365,1.622,1.623,1.6435,1.663,1.6445,1.2605,0.2175,0.3975,0.008,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.008,0.008,0.007,0.007,0.006,0.0065,0.0065,0.0075,0.0065,0.0055
2024-05-06,0,0,0,0.325,1.6095,1.6385,1.6515,1.637,1.6685,1.6805,0.8635,0.4065,0.0075,0.0075,0,0,0,0,0,0.0045,0.007,0.0085,0.0095,0.0075,0.0075,0.0075,0.008,0.01,0.006,0.01,0.007,0.0085,0.0105,0.0065,0.009,0.01,0.008,0.008,0.0085,0.0115,0.0255,0.0315,0.0225,0.007,0.006,0.01,0.011,0.007
2024-05-07,0.1375,0.2665,0.254,0.3685,4.02,4.4925,4.4125,4.117,4.701,4.0995,2.698,2.7075,0.062,0.012,0,0.0085,0,0,0,0.004,0.008,0.008,0.0025,0,0.0015,0,0.0515,0,0,0.0005,0.001,0.001,0.0115,0,0,0.0085,0.044,0.2885,0.0735,0.0475,0.0115,0.071,0.055,0.043,0.0085,0.0085,0.0065,0.0055
2024-05-08,0.234,0.2555,0.261,0.365,4.0325,4.0825,4.079,4.1045,4.109,4.1155,3.5585,2.723,0.0725,0.007,0,0,0.02,0.0535,0.6995,0.057,0.055,0.0575,0.044,0.0505,0.0195,0.0355,0.0125,0.064,0.0375,0.0475,0.0435,0,0,0.066,0.003,0,0.011,0.0115,0.01,0.007,0.008,0.006,0.009,0.016,0.0195,0.0065,0.007,0.022
2024-05-09,0,0,0.332,0.479,3.9545,4.29,4.2965,4.3555,3.988,4.594,3.0305,2.568,0.04,0.0105,0,0,0,0,0,0.026,0.0295,0.001,0.014,0.014,0.072,0.077,0.0495,0.0565,0.0325,0.0485,0.028,0.0555,0.0285,0,0,0,0,0.0075,0.011,0.008,0.0095,0.0455,0.046,0.049,0.0435,0.044,0.136,0.1265
2024-05-10,0.163,0.9075,0.55,0.6225,3.9965,4.035,4.06,4.064,4.0775,4.0835,3.4145,2.6335,0.0335,0.01,0,0,0,0,0,0.0355,0.0345,0.006,0,0,0.5825,0.025,0.0215,0.019,0.0145,0.0165,0,0,0,0,0,0,0.076,0.135,0.045,0.049,0.0535,0.05,0.0505,0.0515,0.0485,0.041,0.01,0.0085
2024-05-11,0.002,0.207,0.3575,0.436,3.9125,3.924,3.9845,4.4975,4.3365,4.0025,3.672,2.7425,0.042,0.009,0,0.0195,0.071,0.062,0.0955,0.017,0,0.0025,0,0,0,0,0,0.0195,0.018,0,0,0,0.0095,0,0,0,0,0.019,0.1875,0.0575,0.0435,0.0465,0.0485,0.047,0.057,0.04,0.009,0.006
